128^2, 18291.774967
256^2, 43833.353364
512^2, 69068.688023
1024^2, 64962.856633
2048^2, 76151.598615
4096^2, 61161.423274
128^2, 15773.990222
256^2, 46720.178223
512^2, 110458.174636
1024^2, 207286.066409
2048^2, 238388.453807
4096^2, 209552.989564
128^2, 12501.651267
256^2, 54032.901771
512^2, 178433.565541
1024^2, 232880.435509
2048^2, 340059.405624
4096^2, 328139.393148
128^2, 14650.031436
256^2, 69832.324662
512^2, 165762.292207
1024^2, 200600.043717
2048^2, 275205.070732
4096^2, 269948.008435
128^2, 14359.137282
256^2, 65702.823575
512^2, 125542.725657
1024^2, 200553.208689
2048^2, 251661.066272
4096^2, 251502.831390
